Pozisyon;IlanMetni
Business Analyst;"Responsibilities

Lead and oversee business analysis for project streams and cross-functional stakeholder teams
Drive collaboration with scientific experts to thoroughly understand and translate complex business needs into actionable insights
Define and document detailed requirements, ensuring clear scope decomposition and alignment with project objectives
Manage and prioritize the project backlog, ensuring that business and technical priorities are clearly communicated and met
Lead the technical design process, offering strategic input and ensuring alignment with business goals and requirements
Create comprehensive project documentation, ensuring clarity and alignment across all stakeholders
Provide expert-level analysis and guidance to the Development team, ensuring seamless integration of business and technical requirements throughout the project lifecycle
 
Requirements

Background in biology, chemistry or bioinformatics
Proficiency in business analysis or product management
B2+ English (Upper-Intermediate), both verbal and written
Experience working in a laboratory
Skills in System or Data Analysis"
Business Analyst;"Main Responsibilities



Liaises with appropriate departments to create in-depth, complex, user acceptance test plans for each project.
Follows test plans to test, document and approve software results once testing is accurate and complete.
Identifies detailed business requirements and process models to ensure the viability of technical designs and fulfillment of business and technical needs and constraints.
Analyzes technical and functional impacts of various candidate solutions and approaches to respond to needs and provide recommendations to business units.
Creates documentation for changes and develops user manuals to communicate changes effectively.
Monitors and supports new releases, including e-mail communication, to respond to feedback, resolve issues and approve software rollout.
Prepares and updates user manuals to ensure current and accurate information is available upon request.
Provides support and information as required to assist in the timely resolution of issues or problems.


Qualifications / Technical Skills



Minimum 2 years experience required, business analysis experience in software development or enterprise software product
Engineering degree
Object oriented development knowledge, SQL knowledge preferred,
Experience required in working with development teams in a SDLC process, including project planning, requirements analysis, communicating / documentation, and QA testing.
Experience writing detailed specifications, including detailed mockups. Irise, Gliffy experience (or similar).
Excellent skills with MS Office tools, including Word, Excel, and Visio. SQL skills
Nice to have the ability to work in a fast-paced IT environment on medium to large-scale projects.
Nice to have a knowledge of agile methodology
Experience in modeling and analysis of business processes (e.g. UML, BPMN)
Proficiency in BA techniques, tools or business areas
Good understanding of one business domain area and business processes.
Requires an understanding of inter-related work processes to be able to adapt to differing assignments.
Professional manner, tact, diplomacy and discretion in dealing with colleagues including senior management.
Draws on a number of known options to solve problems and to develop improvements.
Computer skills to produce effective, spreadsheets, reports, documents and presentations, as required
Adaptable to set and prioritize work with varying exceptions. Able to work with diverse personalities and styles.
Communicates with clarity, verbally and in one on one or group situations
Communicates well in writing by composing clear documents; facility with editing and/or proof-reading is required
Demonstrated understanding of quality standards relative to software development, relational database principals, computer assisted analysis and business case modelling."
Business Analyst;" Your Impact: 
Gather and analyze business requirements of the stakeholders and develop solutions to their business needs,
Act as a liaison between development and business units to effectively perform necessary coordination,
Define open points, risks, dependencies, and contact/track with project stakeholders and clarify solution effects,
As a technical business analyst, utilize technologies such as SQL, SOAPUI/Postman in telco projects,
Prepare and execute system test cases and ensure test coverage to mitigate defects in test/production environments within the telecommunication sector.

 What You Bring to the Table: 
Bachelor�s degree in Computer Science, Information Technology Management or Engineering, or other comparable degrees,
0-1 years of work experience in relevant roles,
Contribute to a high-performing motivated workgroup by applying interpersonal communication and co-operative skills,
Knowledge and experience of Software Development Life Cycle (SDLC),
Analytical abilities, problem-solving skills and a can-do attitude,
Eager to enhance knowledge base and skills,
Ability to plan and coordinate with to-do's and manage people,
Eligible to work in Turkey."
Business Analyst;"Basic Qualifications:

Bachelor�s degree in Engineering departments
4+ years of experience in banking including CRM domain
Demonstrated experience in translating the business needs to technical requirements for Business, and IT teams as well as in implementing integration solutions
Hands-on experience in Postman or SoapUI
Hands-on experience in SQL and PL/SQL
Understanding of the software development life cycle (SDLC) and SDLC tools such as Jira
Understanding of RESTful API development with JSON
Ability to handle multiple projects
Hold self-responsible for team and individual tasks assigned
Strong interpersonal skills to effectively communicate with the team and collaborate with stakeholders
Strong executive communication skills, with the ability to communicate and present to the senior leadership
Experienced in Agile Development methodologies (Scrum, Kanban etc.)
Fluency in English is plus
Certified in Design Thinking Practices, UX, and CX concepts (preferably)
Certified as a Scrum Product Owner and/or a Scrum Master (preferably)"
 Data Analyst;"Responsibilities



Design segmentation for many different business parties & dimensions (seller, influencer etc. ).
Work with the business stakeholders to design and execute growth opportunities for each segment
Develop and maintain performance tracking dashboards to provide real-time insights on key business metrics, performance indicators, and trends.
Communicate insights and recommendations to stakeholders across the organization
Conduct in-depth analysis of campaigns to understand their impact on influencers' behavior.
Optimize targeting, messaging, and campaign effectiveness to drive better results
Collaborate with the product team to design and launch innovative advertising products that align with customer needs and business objectives
Create and execute personalized communication journeys for influencers, enhancing their experience and fostering long-term engagement and loyalty


Expected Qualifications



Bachelor's or Master�s Degree from a reputable university preferably in Computer Science, Management Information Systems or Industrial Engineering
+1 year experience in data analysis, project & product management
Coding skills � ability to code in one or more languages (SQL, Python)
Marketing automation tools (ie Salesforce Marketing Cloud) are a plus
Familiar with digital analytics tools (ie Google Analytics, Adjust) and visualisation tools (Looker, Tableau, Qlikview etc.)
Strong analytical skills and experience of working with large volumes of data
Enjoys the challenge of simplifying complex data, processes, and concepts to highlight key insights and guide decision making
Communication Skills - Excited to work with different functions within company, creative problem solver who thrives with ambiguity
A genuine interest in digital disciplines and stay up to date on trends
Excellent written and verbal communication skills in English
The experience range for this position is suitable for specialist/senior specialist and executive/manager (non-team management) roles"
 Yaz?l?m ?? Analisti;"BU POZ?SYONDA EN �NEM VERD???M?Z YETK?NL?KLER VE DENEY?MLER



En az 5 y?l yaz?l?m projelerinde i? analizi deneyimine sahip,
Gereksinim analizi ve y�netimi konular?na ve ilgili ara�lara (DOORS, Confluence v.b) h�kim,
�evik (scrum v.b) ve ?elale proje y�netim yakla??mlar? hakk?nda bilgi sahibi,
UML, BPMN gibi modelleme ara�lar?n? kullanm??,
Yaz?l?m y�netim ara�lar?n? (JIRA v.b) kullanm??,
Ofis d???nda, entegrasyon hol� ve arazi ?artlar?nda �al??maya engeli bulunmayan.
Tercihen �Elektronik Harp ve/veya Radar� alan bilgisine sahip,
Tercihen kullan?c? deneyimi (UX/UI) kavramlar?na a?ina.




SENDEN NELER BEKL?YORUZ?



?htiya�lar? do?ru anlamak, gerekli durumlarda toplant? organize etmek, uygun verileri toplamak ve yaz?l?m gereksinimlerini belirlemek,
Yaz?l?m gereksinimlerinin u�tan uca izlenebilirli?ini kurmak ve takip etmek,
Yaz?l?m geli?tirme ve dok�mantasyon s�re�lerine uygun olarak dok�manlar? haz?rlamak,
Gereksinimlerle ilgili g�zden ge�irme ve d�zeltme faaliyetlerini y�r�tmek,
Yaz?l?m test tan?mlar?n? g�zden ge�irmek, gerekti?inde do?rulama faaliyetlerine kat?lmak,
Bir veya birden fazla proje veya proje ailesi kapsam?nda analiz �al??malar?na liderlik etmek,
Sistem M�hendisli?i, Test M�hendisli?i, Kalite Y�netimi ve Alt Y�klenici ekipleri ile etkin ileti?im i�inde birlikte �al??mak,
Gereksinim analiz s�reci ile ilgili her t�rl� d�zenleme/iyile?tirme �nerilerinde bulunmak."
Business Analyst;"Key Responsibilities

Track and analyze global renewable energy markets, focusing on Solar PV and BESS projects and developments.
Research and maintain up-to-date information on market trends, project pipelines, and investment activities.
Monitor and report country-specific regulations, incentives, and policy changes affecting the renewable energy sector.
Support customer segmentation, CRM optimization, and data-driven marketing strategies.
Prepare analytical reports, dashboards, and presentations to communicate insights and market outlooks.
Contribute to the strategic planning process by providing data-backed recommendations.
Collaborate with global and regional teams (Business Development, Project, Procurement, Technical, etc.) to ensure alignment and data consistency.
Conduct competitive analysis to benchmark and identify growth opportunities.
Maintain internal databases and market intelligence tools to enhance decision-making efficiency.


Qualifications & Skills

Bachelor�s degree in Business Administration, Economics, Statistics, Engineering, or Data Analytics.
At least 5 years of experience in business analysis, market intelligence, or data analytics (preferably in the renewable energy, EPC, or industrial sectors, B2B focused business).
Strong analytical and quantitative skills with proficiency in Excel, Power BI, or similar BI tools.
Familiarity with renewable energy markets, project development cycles, and regulatory frameworks.
Excellent written and verbal communication skills in English (additional languages are an asset).
Experience with CRM systems (e.g., Salesforce, HubSpot) and marketing analytics tools.
Strong Excel/Google Sheets and SQL skills; familiarity with statistical analysis a plus.
Excellent communication skills with the ability to simplify complex information for diverse stakeholders.
Strong organizational skills, attention to detail, and ability to work cross-functionally in a fast-paced environment."
Software Developer;"Key Skills And Experience

Must have:

A Bachelor�s degree in Computer Science, Software Engineering, or a related field (or equivalent practical experience), with 2�3 years of professional experience in software development.
Proficiency in at least one modern programming language (e.g., Python, Java, C#, JavaScript/TypeScript, or Go).
Hands-on experience with databases � relational (SQL) and/or non-relational (NoSQL, Graph), and experience designing and integrating APIs (RESTful and/or GraphQL).
A solid grasp of software design principles and a commitment to writing clean, maintainable, testable code.
Familiarity with version control systems (Git or similar).
Practical experience working in an Agile development process (Scrum, Kanban, or similar).

Nice to have:

Knowledge of structured programming and design patterns, and experience with automation in the business/domain layer.
Understanding of network fundamentals (protocols, sockets, web security).
Exposure to cloud platforms (AWS, Azure, GCP) or containerization (Docker, Kubernetes)."
Data Analyst;"What will you need?

Required:

2-4 years experience as a Data Analyst, Data Engineer, or similar in the mobile gaming industry.
Strong skills in SQL, BigQuery, or other cloud data warehouses.
Experience with analytics tools like Looker, Power BI, Tableau, or custom dashboards (e.g., Mixpanel, Amplitude).
Deep understanding of mobile game KPIs (retention, ARPU, ARPDAU, LTV, funnel analysis, etc.).
Familiarity with event-based data tracking frameworks in mobile games.
Comfortable owning both engineering and analytics aspects of the data stack.


Bonus:

Hands-on experience with game data analytics tools, Firebase, or Singular similar tools.
Python for scripting or lightweight ETL.
Familiarity with A/B testing analysis and segmentation logic.
Experience working with hybrid-casual or casual games in publishing or development context."
ERP Uzman?;"Genel Nitelikler;
 
�niversitelerin tercihen M�hendislik veya alanla ilgili b�l�mlerinden mezun
En az 3 y?ll?k i? tecr�besine sahip
Kurumsal Kaynak Planlama (ERP) uygulamas? ve s�re� y�netimi konusunda en az 2 y?l tecr�beli
Tercihen ERP proje y�netiminde g�rev alm??
Veri taban? y�netim sistemlerine h�kim
Sistem analizi ve bilgi teknolojisi gerekliliklerine h�kim
?? motivasyonu y�ksek, geli?meye a�?k, disiplinler aras? ileti?im kurabilen
Sorun ��zme yetene?ine sahip
 
?? Tan?m?;
JPlatform, JHR, L-Flow sistemlerinde ve s�re�lerinde aktif rol almak
S�re� analizleri yaparak sistem iyile?tirmeleri �nermek ve uygulamak
ERP kullan?c?lar?ndan gelen talep ve sorunlar? analiz etmek, ��z�m �retmek
T�m kullan?c?lar i�in teknik destek sa?lamak ve e?itim s�re�lerini y�r�tmek
Yeni ihtiya�lara g�re sistemde geli?tirmeler yap?lmas?n? sa?lamak
Finans, sat?n alma, insan kaynaklar? ve depo y�netimi vb. mod�lleri ile ilgili entegrasyonlar? y�netmek
�st y�netime raporlamalar sunmak"
Business Intelligence Specialist ;"3+ years of experience in business intelligence, analytics, or data reporting roles
Proficient in SQL, data visualization tools (Tableau, Power BI, Looker), and Excel.
Strong track record in e-commerce, retail, or digital consumer businesses.
Skilled at transforming complex data into actionable insights for business stakeholders.
Strategic thinker who can align BI initiatives with business goals.
Excellent communicator, able to present data clearly and impactfully.
Passionate about mentoring a high-performing team and fostering a data-driven culture.
Experience in predictive modeling, advanced analytics, or marketing/operational dashboards.
Professional competence in English language."
 Business Analyst;"Requirements



Minimum of 4 years of experience as a Business Analyst in web and mobile application development.
Experience with high volume platforms and integrations
Able to create complex technical and functional user documentation
E-commerce and B2C applications is a plus
CBAP certificate is a plus
Basic experience in UML modeling language
Preparing user acceptance test cases documents, making Wireframes, Data Flow Diagrams (DFD), Blue Prints
Previous experience of working in an agile environment and using recognized development, methodology; e.g., Agile, SCRUM, and KANBAN
Being familiar with ITIL and Project Management principles is a plus
Previous experience with Mobile Testing Tools is a plus
Good command in English
Good communication and planning skills"
Business Intelligence;"Desired Qualifications

Bachelor�s degree in Computer Engineering, Industrial Engineering, Information Systems, or a related field.
Minimum 5 years of experience in BI development, data analysis, or data engineering roles.
Preferably experienced in the banking and finance sector.
Strong understanding of data modeling, BI architecture, and financial datamart creation.
Experience with data integration and ETL tools (preferably Informatica, Apache Airflow, etc.).
Proficient in designing and developing dashboards and reports using BI tools (Power BI, Oracle BI, OAS, Qlik, Tableau, etc.).
Strong SQL skills.
Experience in Oracle Analytics Server (OAS) RPD design, development, and maintenance is preferred.
Solid experience with data warehousing concepts and design (Snowflake, star schema, ETL vs ELT).
Strong analytical, problem-solving, and conceptual thinking skills.
Proactive in identifying issues and implementing solutions.
Good command of written and spoken English.
Experience working within Agile teams and methodologies.


Job Description

Design, develop, and maintain BI solutions to support the bank�s data-driven decision-making processes.
Collaborate with data engineers and analysts to define data sources, build data models, and develop interactive dashboards and reports.
Hands-on experience with SAS tools and environments .
Utilize tools like Informatica for integrating and transforming structured and unstructured data.
Create and manage financial datamarts and support their integration with analytical and reporting platforms.
Work with real-time and batch data pipelines using platforms such as Apache Kafka and MS SQL Server.
Implement and maintain data quality checks, validation rules, and data governance practices.
Translate business requirements into technical specifications and deliver high-quality reporting solutions.
Optimize BI solutions for performance, scalability, and usability.
Ensure compliance with data security, privacy, and classification standards.
Stay up to date with new BI and data visualization technologies, tools, and best practices.
Participate in decision support system development by creating datasets tailored to business needs.
Hybrid work opportunities available."
?? Zekas? Uzman?;"Genel Nitelikler:

�niversitelerin 4 y?ll?k b�l�mlerinden mezun (Tercihen Bilgisayar M�hendisli?i, Y�netim Bili?im Sistemleri,Elektrik-Elektronik M�hendisli?i,Matematik M�hendisli?i veya End�stri M�hendisli?i)
RDMS, Boyutsal Veri Modelleme, Veri Ambar? konusunda minimum 3 y?l tecr�beli
Oracle PL/SQL deneyimli
?leri seviye SQL bilgisi
ETL uygulamalar? konusunda en az 3 y?l deneyimli (Oracle Data Integrator, Informatica)
Raporlama uygulamalar? konusunda deneyimli ( SAP Business Objects, Oracle OBIEE, vs)
Ayn? anda birden fazla ekiple �al??abilecek, koordine edebilecek
Analitik d�?�nebilen, ekip �al??mas?na yatk?n, sorumluluk sahibi, ileti?imi kuvvetli ve gerekti?inde inisiyatif kullanabilen
�evik �al??ma prensiplerine hakim (tercihen)
?stanbul ikamet edebilecek"
CRM Data Analyst;"What Makes You Special?

Bachelor's or Master's degree in Statistics, Engineering, Mathematics, Computer Science or a related field
3+ years of experience in CRM, Growth, or Data Analytics ideally within e-commerce, retail, or tech-driven environments
Strong SQL skills and experience working with relational databases
Hands-on experience with data visualization tools (Looker Studio, QlikSense, Power BI, Tableau, etc.)
Experience in customer segmentation, campaign performance analysis, and retention metrics
Knowledge of CRM platforms (Insider or equivalent), with hands-on experience in push, SMS, and in-app campaigns
Analytical and algorithmic mindset able to transform data into actionable insights and growth recommendations
Excellent communication and storytelling skills, with the ability to make data meaningful for business stakeholders
A growth mindset, connecting analytical findings with business outcomes to drive measurable impact"
Software Developer;"Responsibilities:

Design, develop, and maintain SaaS applications using C# and .NET technologies.
Design and build high-quality software solutions on the Azure platform.
Work on back-end data services, including Redis and SQL Server databases.
Collaborate with cross-functional teams to identify requirements and ensure project alignment.
Conduct troubleshooting and debugging of software applications.
Translate software requirements into concise, maintainable design.
Develop DevOps processes and pipelines with Azure DevOps to support the software life cycle.
Ideal Candidate Qualifications:

Strong skills in C#, .NET, and .NET Core.
Proven experience with Azure, Redis, and SQL.
Proficient with Azure DevOps.
Excellent analytical, problem-solving, and attention-to-detail skills.
Ability to use data and metrics to guide decisions and manage features.
Effective communicator who can align cross-functional teams."
Database Administrator;"Key competencies

We believe skills and potential matter as much as experience. To thrive in this role, you should have;


Bachelor�s degree in Computer Science, Information Technology, or related fields.
Solid experience in database administration for PostgreSQL and NoSQL databases.
Excellent analytical skills and problem-solving capabilities.
Experience with time series databases such as TimeScaleDB.
Experience with database management on Kubernetes.
Familiarity with cloud services on AWS
Experience in high-availability and high-performance environments.
Knowledge of additional database systems and programming skills.


Nice to Have

Hands-on experience with Kubernetes StatefulSets or Operators for database lifecycle management.
Familiarity with Kafka / Redpanda and Debezium for Change Data Capture (CDC) pipelines.
AWS Certified Database � Specialty certification.
Exposure to Site Reliability Engineering (SRE) practices and Root Cause Analysis (RCA) methodologies."
ERP Yaz?l?m Y�neticisi;"GENEL N?TEL?KLER 



�niversitelerin Yaz?l?m veya Bilgisayar M�hendisli?i b�l�mlerinden mezun,
Tercihen CANIAS olmak �zere ERP paketleri projelerinde en az 7 y?l tecr�beli,
Proje y�netim bilgi ve deneyimine sahip,
Tercihen CANIAS olmak �zere, ERP paketlerinde anahtar kullan?c? ya da dan??man olarak aktif g�rev alm??,
Postgre SQL sorgulama diline h�kim,
Troya, C# gibi yaz?l?m dillerinde ileri seviye bilgi sahibi,
Python yaz?l?m dilinde minimum seviye bilgi sahibi,
?? birimlerinden gelen ihtiya�lar?n analizi do?rultusunda uygun ��z�m �retebilecek,
?leri seviye ?ngilizce bilen,
Analitik, problem ��zme becerisine ve sonu� odakl? �al??ma anlay???na sahip,
Ara?t?rmac? ve sorumluluk sahibi, ileti?im becerileri y�ksek,
Ekip �al??mas?na yatk?n.
?? TANIMI



ERP mod�lleri ile ilgili yap?lacak geli?tirme ihtiya�lar?n?n s�re� ve teknik analizini yapmak,
� ?? birimleri ile yap?lan i? analizinde belirlenen ihtiya�lar do?rultusunda teknik analizleri ger�ekle?tirerek ihtiya�lar?n teknik olarak nas?l ger�ekle?tirilece?ini belirlemek ve uygulamak.
CANIAS ERP uygulamalar?n?n g�ncelleme ve bak?m faaliyetlerinde g�rev almak,
Birimlerin raporlama ihtiya�lar?n?n kar??lanmas? sa?lamak,
� Anahtar kullan?c? e?itimleri vermek ve e?itim dok�manlar?n? haz?rlamak, 

� Sorumluluk ald??? i?lerde b�t�e ve termine uyacak ?ekilde proje y�netimini sa?lamak,
� ?lgili mod�l i?levlerinin geli?tirilmesi esnas?nda t�m payda?lara destek vermek.


Bilgi Teknolojileri departman?m?zda ERP Yaz?l?m Y�neticisi pozisyonu i�in ba?vurular?n?z? beklemekteyiz."
Business Intelligence Engineer;"Responsibilities:



Developing, analyzing and maintaining the dashboards which are produced in BI Platforms,
Ensuring BI Platforms & Decision-making Systems serve continuously and produce consistent reports,
Execution of relevant test and maintenance stages in all BI processes,
Meeting the problems and new development requests coming to the unit within the scope of business intelligence,
Contribute to the performance and architecture management of the BI reporting tool used.




Qualifications:



B.S. degree preferably in Computer Science, Industrial Engineering, MIS, Mathematics, or related fields,
At least 3 years of experience in Business Intelligence tools; such as QlikSense, QlikSense SAAS, QlikView vs.
Knowledge of Data Modeling, Data Warehousing and ETL processes,
Knowledge of Cloud platforms, such as Google Cloud Platform,
Knowledge of Data Governance principles and approach,
Seeing reporting not only as an interface that shows the past but also as an analytical and forward-looking tool."
Software Developer;" Bachelor�s degree in related departments 
 Solid understanding and hands-on experience in ANSI C 
 Good knowledge of Java on the Android platform 
 Preferably min +4 years of development experience in embedded and mobile systems 
 Payment Systems Experience 
 Good command of written and spoken English 
 Flexibility to travel abroad "
Database Administrator ;"What Youll Be Doing?



Design, implement, and maintain PostgreSQL and MongoDB database systems in production environments
Perform database installation, configuration, and upgrades across multiple environments.,
Monitor database performance, identify bottlenecks, and implement optimization strategies.
Manage database security, including user access controls, authentication, and encryption.
Develop and execute backup and disaster recovery strategies for both SQL and NoSQL databases
Implement high availability solutions including replication, clustering, and failover mechanisms.
Conduct capacity planning and resource allocation for database infrastructure.
Analyze query performance and implement indexing strategies for PostgreSQL.
Optimize MongoDB collections, indexes, and aggregation pipelines for improved performance.
Tune database parameters and configuration settings based on workload characteristics.
Implement monitoring solutions using tools like New Relic or database-specific monitoring platforms.
Conduct regular performance reviews and capacity planning assessments.
Automate routine database maintenance tasks using scripting languages (Python, Bash, PowerShell).
Participate in on-call rotation for critical database and streaming infrastructure support.
Collaborate with development teams to optimize application database interactions.
Document database architectures, procedures, and troubleshooting guides.
Ensure compliance with data governance and regulatory requirements.


What Youll Bring?



3+ years of experience as a Database Administrator or similar role.
Strong expertise in PostgreSQL administration, including advanced features like partitioning, logical replication, and extensions.
Proficiency in MongoDB administration, including replica sets, sharding, and aggregation framework.
Experience with database backup and recovery procedures for both SQL and NoSQL systems.
Knowledge of database security best practices and compliance frameworks.
Proficiency in SQL and NoSQL query optimization techniques.
Experience with cloud platforms (AWS, Azure, GCP) and their database services (RDS, Atlas, Aurora, Redshift).
Familiarity with containerization technologies (Docker, Kubernetes) for database deployment.
Knowledge of Infrastructure as Code tools (Terraform, CloudFormation).
Experience with monitoring and alerting tools (Prometheus, Grafana, Nagios, NewRelic).
Understanding of networking concepts and security protocols.
Proficiency in scripting languages (Python, Bash, PowerShell) for automation.
Experience with configuration management and deployment tools.
Understanding of version control systems (Git) and CI/CD pipelines.
Basic knowledge of application development and API integration


Preferred Qualifications



Bachelor's degree in Engineering or related field.
Knowledge of data modeling and warehouse concepts.
Experience with backup and disaster recovery testing.
Relevant certifications (PostgreSQL, MongoDB, AWS/Azure/GCP) is a plus.
Understanding of microservices architecture and event-driven design patterns"
Database Administrator;"Key Responsibilities


Collaborate with business and technical stakeholders to gather, analyze, and document requirements. 
Translate business needs into functional specifications, user stories, and process flows. 
Support the full project lifecycle from requirements analysis through to UAT and post-launch support. 
Conduct gap analyses and identify opportunities for process and system improvements. 
Work closely with cross-functional teams including developers, testers, and product managers. 
Ensure solutions align with regulatory requirements, business goals, and industry best practices. 


Required Qualifications


Bachelor�s degree in Business, Finance, Engineering, or a related field. 
Minimum 5 years of experience as a Business Analyst, preferably in the financial services or fintech industry. 
Experience in digital transformation, workflow design, and financial product development. 
Familiarity with factoring or similar financial domains is a must. 
Strong knowledge of business analysis techniques and tools (e.g., BRD, user stories, process modeling). 
Comfortable working in Agile environments with tools like JIRA and Confluence. 
Excellent written and verbal communication skills in English. "
Database�Administrator;"Responsibilities

Day-to-day duties for proper database maintenance along with proactive measures to maximize the database availability and performance
Provide a single point of contact related to DB operations and triage incoming requests
Actively monitor the database health and capacity and take corrective actions as needed
Give proper tuning recommendations to the required team
Perform patching and upgrade activities
Perform database migration from MSSQL to PostgreSQL
Perform quarterly data retention on all databases
Monitor and remediate RDBMS and NoSQL batch processes
Execute database backups and restores
Handle Database HADR operations
Be available in rotation on-call for critical event handling
Involve in Business User Meetings to understand their expectations


Preferred Skills And Experience

6+ years of hands-on experience installing, configuring, and administering RDBMS databases (MSSQL)
Hands-on experience on cloud database managed instance (Azure, AWS) is a plus
Bachelor�s Degree in Computer Science, Information Systems, or a closely related field
In-depth understanding of High Availability strategies: Replication, Log Shipping, Always On, sharding, and failover
Hands-on experience on PostgreSQL is a plus
Database migration (MSSQL-PostgreSQL) experience is a plus
Experience with Windows and Linux management
Performance tuning and troubleshooting skills in relation to databases
Knowledge of encryption and masking of sensitive data
Experience developing data management operations
Ability to produce and maintain high-quality operational documentation
Ability to function well in a team, work independently, and communicate effectively
Knowledge of ITIL processes"
Software Business Analyst;"Qualifications:

 Education:

Bachelor�s degree in Industrial Engineering, MIS, Computer Science, or a related field.
Experience:

Minimum 2 years of experience as a Business/System Analyst in software projects.
Proven ability to translate business needs into technical requirements and workflows.
Experience in software integration projects or workflow automation tools.
Hands-on experience in writing user stories, conducting UATs, and managing SDLC documentation.
Skills:

Strong understanding of Agile methodologies (Scrum or Kanban).
Familiarity with CRM systems (HubSpot, Salesforce) and API-based integrations.
Proficient in requirements elicitation, business process modeling (UML/BPMN), and documentation.
Excellent analytical and problem-solving skills.
Strong communication and stakeholder management abilities.
Detail-oriented, organized, and capable of managing multiple priorities.
 Nice-to-Have Qualifications:

Experience in AI, automation, or workflow orchestration projects.
Familiarity with Postman or API testing tools.
Knowledge of SQL, NoSQL, or data modeling principles.
IIBA, CCBA, or CBAP certification.
English communication skills (written and spoken) to collaborate with the United States, Colombia, and China teams.
 Why Join Us: 

Be part of a cutting-edge AI project redefining digital sales automation.
Work in a global company with diverse and dynamic teams.
Collaborate with talented engineers, analysts, and product experts.
Remote work flexibility.
Continuous learning opportunities with the latest technologies and methodologies."
SAP  ?? Analisti;"Genel Nitelikler



�niversitelerin tercihen Elektrik/Elektronik, End�stri, Bilgisayar veya Yaz?l?m m�hendisli?i b�l�mlerinden mezun,
?lgili alanda en az 2 y?l deneyime sahip,
SAP finans uygulamalar? (FI-GL, FI-AA, FI-AP, FI-AR, CO-PA, CO-PC) tecr�beli,
�retim olan projelerde deneyimli, Paralel muhasebe (VUK, IFRS) bilgisine sahip,
SAP fonksiyonel ve teknik dok�mantasyon bilgisine sahip,
Tercihen temel d�zeyde SAP-ABAP programlama dili bilgisine sahip,
?yi d�zeyde ?ngilizce bilgisine sahip,
?leti?im ve sunum yetene?i kuvvetli,
Analitik d�?�nme ve problem ��zme becerisine sahip"
?? Analisti;"GENEL N?TEL?KLER

�niversitelerin End�stri M�hendisli?i, Matematik M�hendisli?i, Bilgisayar M�hendisli?i, ??letme M�hendisli?i veya e?de?er b�l�mlerinden mezun,
En az 1 y?ll?k ?? Analisti deneyimi sahip (Tercihen Sigortac?l?k deneyimi)
UML, BPMN veya benzeri modelleme ara�lar? hakk?nda bilgi sahibi
SQL ve temel veri sorgulama becerisine sahip
Yaz?l?m gereksinimi belirleme, dok�mantasyon, test senaryolar? geli?tirme, test ve kabul faaliyetlerini ger�ekle?tirme konular?nda bilgi sahibi,
D�zenli raporlama al??kanl??? olan ve dok�mantasyona �nem veren,
Analitik ve stratejik d�?�nebilen, konsantrasyonu g��l� ve problem ��zme becerisine sahip,
Yarat?c?, yenilik�i, bireysel motivasyonu y�ksek, tak?m �al??mas?na yatk?n arkada?lar?n ba?vurular?n? bekliyoruz."
Software Developer Specialist;"Qualifications & Skills



Bachelor�s degree in Computer Engineering, Software Engineering, or a related technical field,
Minimum 5 years of hands-on experience in backend and/or frontend development,
Strong command of .NET Core, Web API, C#, and Entity Framework Core,
Solid experience in React or Angular for frontend development,
Proficiency in MS SQL (required); experience with MongoDB or PostgreSQL is a plus,
Android mobile development experience is a strong plus,
Proven ability in technical architectural modeling and scalable system design,
Experience working with Agile/Scrum methodologies and version control tools (Git, GitHub, GitLab),
Familiarity with microservices architecture, RESTful API design, and cloud platforms (Azure or AWS) is advantageous,
Excellent analytical thinking, problem-solving, and decision-making abilities,
Strong team collaboration and communication skills with a proactive, results-driven attitude,
Fluent in English; able to collaborate effectively with global teams.


Key Responsibilities



Design, develop, and maintain scalable and high-performance backend and/or frontend applications aligned with business objectives,
Take ownership of end-to-end software development lifecycle � including analysis, design, implementation, testing, deployment, and maintenance,
Collaborate closely with business analysts, architects, project managers, and other development teams to deliver effective and innovative solutions,
Participate in architectural design and decision-making processes to ensure system scalability, performance, and maintainability,
Conduct code reviews to uphold coding standards, best practices, and maintain code quality across projects,
Proactively identify and resolve performance bottlenecks, technical risks, and system inefficiencies,
Mentor junior developers and support their technical growth through guidance and code reviews,
Engage in DevOps, CI/CD, and automation practices to enhance deployment efficiency and reliability,
Stay current with emerging technologies, frameworks, and design patterns, continuously bringing innovation into the development cycle,
Take ownership of assigned tasks and ensure delivery of clean, testable, and high-quality code within defined timelines."
 Database Engineer�;"Preferred Qualifications: 

At least a Bachelor�s degree, in Computer Science, MIS or another technical field, or equivalent work experience.
Solid experience with Linux.
Experience troubleshooting complex software and/or networking issues.
Knowledge on Cloud computing architecture, primarily Identity, Compute and Networking
Expert level experience, understanding, implementation and troubleshooting of Oracle Database technology including RAC, Dataguard, ASM, RMAN preferred.
Development skills utilizing Python, shell, SQL, Terraform
Prior DevOps or continuous delivery and deployment experience preferred
Strong communication and analytical skills
Proven ability to quickly learn new technical domains and then train others."
